step time drag lift
100 0.0001 1.68183596468387 -0.00273279066519218
200 0.0002 1.60420313825913 -0.0031707863367786
300 0.0003 1.59038900062769 0.00230520105899274
400 0.0004 1.58621486207564 -0.000516300796284987
500 0.0005 1.5612146179452 -0.00137527421022133
600 0.0006 1.53004279667223 -0.000140606375736347
700 0.0007 1.51467718451177 0.000231044700466898
800 0.0008 1.48488963396758 0.000622492147443515
900 0.0009 1.47202503030856 -0.000725020682401054
1000 0.001 1.43982498094717 0.000917123876962479
1100 0.0011 1.41839397284152 -0.000346960971186671
1200 0.0012 1.38321673294074 -0.00119100742847775
1300 0.0013 1.37379413844839 -0.000577295344198722
1400 0.0014 1.33236947366946 0.00254476639218528
1500 0.0015 1.30831841439702 -0.00114067488383927
1600 0.0016 1.27467612333756 0.000476030445802141
1700 0.0017 1.24561960446852 0.00271419479859039
1800 0.0018 1.22454173942023 0.000625539194865698
1900 0.0019 1.20877716077995 -0.00370094396487912
2000 0.002 1.17092833607994 -0.000398509116279259
2100 0.0021 1.13995966050768 0.00122878152370086
2200 0.0022 1.11180957632015 0.00281446584750408
2300 0.0023 1.0908814341304 0.000626855715714037
2400 0.0024 1.05638424358579 0.00190264867705422
2500 0.0025 1.02182647890765 -0.00249685887944265
2600 0.0026 1.00268114738034 -0.00109596431132326
2700 0.0027 0.967644628308461 0.00153284676674448
2800 0.0028 0.95299237265919 -0.0017342599053371
2900 0.0029 0.921523507820688 -0.00515075476324446
3000 0.003 0.904361597848115 0.0044971856786084
