step time drag lift
100 0.0001 1.68183596468387 -0.00273279066519218
200 0.0002 1.60420313825913 -0.0031707863367786
300 0.0003 1.59038900062769 0.00230520105899274
400 0.0004 1.58621486207564 -0.000516300796284987
500 0.0005 1.5612146179452 -0.00137527421022133
600 0.0006 1.53004279667223 -0.000140606375736347
700 0.0007 1.51467718451177 0.000231044700466898
800 0.0008 1.48488963396758 0.000622492147443515
900 0.0009 1.47202503030856 -0.000725020682401054
1000 0.001 1.43982498094717 0.000917123876962479
1100 0.0011 1.41839397284152 -0.000346960971186671
1200 0.0012 1.38321673294074 -0.00119100742847775
1300 0.0013 1.37379413844839 -0.000577295344198722
1400 0.0014 1.33236947366946 0.00254476639218528
1500 0.0015 1.30831841439702 -0.00114067488383927
1600 0.0016 1.27467612333756 0.000476030445802141
1700 0.0017 1.24561960446852 0.00271419479859039
1800 0.0018 1.22454173942023 0.000625539194865698
1900 0.0019 1.20877716077995 -0.00370094396487912
2000 0.002 1.17092833607994 -0.000398509116279259
2100 0.0021 1.13995966050768 0.00122878152370086
2200 0.0022 1.11180957632015 0.00281446584750408
2300 0.0023 1.0908814341304 0.000626855715714037
2400 0.0024 1.05638424358579 0.00190264867705422
2500 0.0025 1.02182647890765 -0.00249685887944265
2600 0.0026 1.00268114738034 -0.00109596431132326
2700 0.0027 0.967644628308461 0.00153284676674448
2800 0.0028 0.95299237265919 -0.0017342599053371
2900 0.0029 0.921523507820688 -0.00515075476324446
3000 0.003 0.904361597848115 0.0044971856786084
3100 0.0031 0.864695730717728 -0.00398816348607182
3200 0.0032 0.849122208604619 0.000392877428029956
3300 0.0033 0.822650594533534 0.000435347714266105
3400 0.0034 0.802241012015859 -0.00147489897738685
3500 0.0035 0.790629672475775 -0.00122304877523083
3600 0.0036 0.771617447574516 0.00564628734309685
3700 0.0037 0.74827164710011 -0.000104690610427883
3800 0.0038 0.733492957962923 0.00241649544045241
3900 0.0039 0.730830917787378 -0.00144040267929105
4000 0.004 0.719134932362904 0.00122166844204821
4100 0.0041 0.70009674385826 0.00123892812667421
4200 0.0042 0.697004567705213 -0.000346571602145927
4300 0.0043 0.688737696640528 -0.000698197840540587
4400 0.0044 0.674598523550197 0.000905945826814138
4500 0.0045 0.670560070088726 0.0028197488141904
4600 0.0046 0.664369046991925 -0.00263101453807093
4700 0.0047 0.66296538115008 -0.00281975513084368
4800 0.0048 0.65205279265072 -0.000158037285002831
4900 0.0049 0.641266636796546 -0.000692992083615942
5000 0.005 0.629665835043149 -0.00265338569020024
5100 0.0051 0.62804124910801 0.00261693271421219
5200 0.0052 0.626348875660625 -0.00215826366183118
5300 0.0053 0.607409400590969 -0.00218263570079475
5400 0.0054 0.602525481306716 0.00193348581627036
5500 0.0055 0.608142453452523 0.000185995573439218
5600 0.0056 0.597930724044313 0.00183703752499954
5700 0.0057 0.599685198488199 0.000129614059001253
