Region Metadata for: shape_3.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 199
Number of regions: 10
Points per region:
  Region 0: 19 points
  Region 1: 19 points
  Region 2: 19 points
  Region 3: 19 points
  Region 4: 19 points
  Region 5: 19 points
  Region 6: 19 points
  Region 7: 19 points
  Region 8: 19 points
  Region 9: 28 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,19,-5.8130271623e-02,-7.5525703542e-03,-1.1332068645e-01,-5.3391021065e-02,-0.7724255540,-0.6351053169,-0.6351053169,0.7724255540,1.0242701797e-01,3.0965151950e-02,1.8050730171e-01,-6.88144858e-01,5.53697960e-04,2.79928582e-04
1,19,-1.3001860575e-02,5.5362581186e-02,-1.4388924787e-01,-1.0736848727e-01,-0.4300544422,-0.9028029556,-0.9028029556,0.4300544422,6.7412007997e-02,-3.5356397711e-02,1.0726314085e-01,-1.12624325e+00,5.56029845e-04,2.83228077e-04
2,19,5.2409313729e-02,7.7443680954e-02,-1.4346396693e-01,-9.6990435386e-02,0.9322902099,-0.3617111618,-0.3617111618,-0.9322902099,5.0644104112e-02,-1.1702039546e-01,2.4661912261e-02,-2.77148997e+00,3.14444027e-04,1.64221241e-04
12,7.4646753355e-02,-1.1938376428e-01,2.7852730351e-03
13,7.4522709838e-02,-1.1653569335e-01,2.9209711155e-03
14,7.4174113907e-02,-1.1356490444e-01,3.0634972344e-03
15,7.3614731997e-02,-1.1047937714e-01,3.2082494835e-03
16,7.2858330547e-02,-1.0728709103e-01,3.3516284890e-03
17,7.1918675992e-02,-1.0399602568e-01,3.4908414490e-03
18,7.0809534770e-02,-1.0061416067e-01,3.6237252880e-03

Region 3 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,6.9544673318e-02,-9.7149475597e-02,3.7486015259e-03
1,6.8137858071e-02,-9.3609950027e-02,3.8641628299e-03
2,6.6602855469e-02,-9.0003563546e-02,3.9693865711e-03
3,6.4953431946e-02,-8.6338295733e-02,4.0634698043e-03
4,6.3203353941e-02,-8.2622126170e-02,4.1457806530e-03
5,6.1366387889e-02,-7.8863034436e-02,4.2158220549e-03
6,5.9456300228e-02,-7.5069000114e-02,4.2732047762e-03
7,5.7486857395e-02,-7.1248002782e-02,4.3176274038e-03
8,5.5471825826e-02,-6.7408022023e-02,4.3488616490e-03
9,5.3424971959e-02,-6.3557037416e-02,4.3667417722e-03
10,5.1360062230e-02,-5.9703028543e-02,4.3711573009e-03
11,4.9290863076e-02,-5.5853974983e-02,4.3620484910e-03
12,4.7231140934e-02,-5.2017856318e-02,4.3394042078e-03
13,4.5194662241e-02,-4.8202652127e-02,4.3032620925e-03
14,4.3195193434e-02,-4.4416341993e-02,4.2537110669e-03
15,4.1246500950e-02,-4.0666905495e-02,4.1908964172e-03
16,3.9362351225e-02,-3.6962322214e-02,4.1150279229e-03
17,3.7556510696e-02,-3.3310571730e-02,4.0263917836e-03
18,3.5842745801e-02,-2.9719633625e-02,3.9253674691e-03

Region 4 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,3.4234822975e-02,-2.6197487479e-02,3.8124511487e-03
1,3.2746508657e-02,-2.2752112872e-02,3.6882880854e-03
2,3.1391569283e-02,-1.9391489385e-02,3.5537174101e-03
3,3.0183771289e-02,-1.6123596600e-02,3.4098341114e-03
4,2.9136881113e-02,-1.2956414095e-02,3.2580749363e-03
5,2.8264665192e-02,-9.8979214528e-03,3.1003371002e-03
6,2.7580889962e-02,-6.9560982532e-03,2.9391406092e-03
7,2.7099321860e-02,-4.1389240769e-03,2.6226977587e-03
8,2.6850292621e-02,-1.7645898781e-03,2.4378738156e-03
9,2.6729618231e-02,7.2087193185e-04,2.5385702185e-03
10,2.6727942718e-02,3.3096222437e-03,2.6375605419e-03
11,2.6835910107e-02,5.9938219483e-03,2.7329962956e-03
12,2.7044164425e-02,8.7656319367e-03,2.8234278446e-03
13,2.7343349698e-02,1.1617213100e-02,2.9077187607e-03
14,2.7724109952e-02,1.4540726328e-02,2.9849777474e-03
15,2.8177089214e-02,1.7528332512e-02,3.0545058822e-03
16,2.8692931511e-02,2.0572192544e-02,3.1157563351e-03
17,2.9262280867e-02,2.3664467314e-02,3.1683039143e-03
18,2.9875781311e-02,2.6797317712e-02,3.2118222384e-03

Region 5 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,3.0524076867e-02,2.9962904631e-02,3.2460668188e-03
1,3.1197811563e-02,3.3153388960e-02,3.2708627596e-03
2,3.1887629425e-02,3.6360931590e-02,3.2860961372e-03
3,3.2584174479e-02,3.9577693413e-02,3.2917084047e-03
4,3.3278090751e-02,4.2795835320e-02,3.2876933942e-03
5,3.3960022267e-02,4.6007518200e-02,3.2740966840e-03
6,3.4620613055e-02,4.9204902945e-02,3.2510172663e-03
7,3.5250507140e-02,5.2380150446e-02,3.2186116117e-03
8,3.5840348548e-02,5.5525421594e-02,3.1771003975e-03
9,3.6380781307e-02,5.8632877280e-02,3.1267783487e-03
10,3.6862449441e-02,6.1694678394e-02,3.0680278617e-03
11,3.7275996979e-02,6.4702985827e-02,3.0013373364e-03
12,3.7612067945e-02,6.7649960471e-02,2.9273254478e-03
13,3.7861306366e-02,7.0527763215e-02,2.8467729222e-03
14,3.8014356269e-02,7.3328554952e-02,2.7606636984e-03
15,3.8061861680e-02,7.6044496571e-02,2.6702375206e-03
16,3.7994466625e-02,7.8667748964e-02,2.5770557295e-03
17,3.7802815131e-02,8.1190473022e-02,2.4830807297e-03
18,3.7477551223e-02,8.3604829635e-02,2.3907663014e-03

Region 6 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,3.7009318928e-02,8.5902979695e-02,2.3031490794e-03
1,3.6388762273e-02,8.8077084091e-02,2.2239195261e-03
2,3.5606525284e-02,9.0119303716e-02,2.1574334911e-03
3,3.4653251987e-02,9.2021799459e-02,2.1882777332e-03
4,3.3471676305e-02,9.3934926181e-02,2.3622783510e-03
5,3.2046542396e-02,9.5959619906e-02,2.5832310411e-03
6,3.0392815202e-02,9.8081876545e-02,2.7902962747e-03
7,2.8525459666e-02,1.0028769201e-01,2.9817430293e-03
8,2.6459440731e-02,1.0256306222e-01,3.1564510811e-03
9,2.4209723338e-02,1.0489398307e-01,3.3136780761e-03
10,2.1791272431e-02,1.0726645049e-01,3.4529260310e-03
11,1.9219052951e-02,1.0966646037e-01,3.5738622014e-03
12,1.6508029842e-02,1.1208000865e-01,3.6762709589e-03
13,1.3673168046e-02,1.1449309122e-01,3.7600241479e-03
14,1.0729432506e-02,1.1689170399e-01,3.8250629990e-03
15,7.6917881633e-03,1.1926184289e-01,3.8713876972e-03
16,4.5751999614e-03,1.2158950382e-01,3.8990524255e-03
17,1.3946328427e-03,1.2386068269e-01,3.9081647336e-03
18,-1.8349482503e-03,1.2606137542e-01,3.8988887787e-03

Region 7 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-5.0985783752e-03,1.2817757791e-01,3.8714525132e-03
1,-8.3812925894e-03,1.3019528608e-01,3.8261593882e-03
2,-1.1668125950e-02,1.3210049584e-01,3.7634056943e-03
3,-1.4944113516e-02,1.3387920310e-01,3.6837053617e-03
4,-1.8194290342e-02,1.3551740378e-01,3.5877250209e-03
5,-2.1403691488e-02,1.3700109378e-01,3.4763335244e-03
6,-2.4557352011e-02,1.3831626901e-01,3.3506721680e-03
7,-2.7640306968e-02,1.3944892540e-01,3.2122547600e-03
8,-3.0637591416e-02,1.4038505884e-01,3.0631106317e-03
9,-3.3534240413e-02,1.4111066525e-01,2.9059883624e-03
10,-3.6315289017e-02,1.4161174055e-01,2.7446414995e-03
11,-3.8965772285e-02,1.4187428064e-01,2.5842136305e-03
12,-4.1470725274e-02,1.4188428144e-01,2.4317125282e-03
13,-4.3815183042e-02,1.4162773885e-01,2.2964789704e-03
14,-4.5984180647e-02,1.4109064879e-01,2.1903765028e-03
15,-4.7962753145e-02,1.4025900718e-01,2.1271902088e-03
16,-4.9735935595e-02,1.3911880992e-01,2.1207122021e-03
17,-5.1288763054e-02,1.3765605292e-01,2.1816995557e-03
18,-5.2606270578e-02,1.3585673210e-01,2.7449463675e-03

Region 8 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-5.4231428909e-02,1.3303094775e-01,3.3055782758e-03
1,-5.5776097130e-02,1.3005677679e-01,3.3973715132e-03
2,-5.7241165028e-02,1.2694062827e-01,3.4891450097e-03
3,-5.8627522391e-02,1.2368891119e-01,3.5800952172e-03
4,-5.9936059006e-02,1.2030803459e-01,3.6695321257e-03
5,-6.1167664660e-02,1.1680440749e-01,3.7568635124e-03
6,-6.2323229142e-02,1.1318443891e-01,3.8415808611e-03
7,-6.3403642238e-02,1.0945453789e-01,3.9232470477e-03
8,-6.4409793736e-02,1.0562111344e-01,4.0014857275e-03
9,-6.5342573424e-02,1.0169057459e-01,4.0759722805e-03
10,-6.6202871088e-02,9.7669330369e-02,4.1464261359e-03
11,-6.6991576517e-02,9.3563789798e-02,4.2126042947e-03
12,-6.7709579498e-02,8.9380361904e-02,4.2742958770e-03
13,-6.8357769818e-02,8.5125455711e-02,4.3313175370e-03
14,-6.8937037264e-02,8.0805480245e-02,4.3835096126e-03
15,-6.9448271625e-02,7.6426844531e-02,4.4307328893e-03
16,-6.9892362687e-02,7.1995957594e-02,4.4728658822e-03
17,-7.0270200238e-02,6.7519228460e-02,4.5098025523e-03
18,-7.0582674065e-02,6.3003066152e-02,4.5414503879e-03

Region 9 (28 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-7.0830673957e-02,5.8453879697e-02,4.5677287955e-03
1,-7.1015089699e-02,5.3878078120e-02,4.5885677514e-03
2,-7.1136811081e-02,4.9282070446e-02,4.6039066779e-03
3,-7.1196727889e-02,4.4672265700e-02,4.6136935105e-03
4,-7.1195729910e-02,4.0055072906e-02,4.6178839335e-03
5,-7.1134706933e-02,3.5436901091e-02,4.6164407619e-03
6,-7.1014548744e-02,3.0824159280e-02,4.6093334558e-03
7,-7.0836145131e-02,2.6223256497e-02,4.5965377553e-03
8,-7.0600385882e-02,2.1640601768e-02,4.5780354283e-03
9,-7.0308160783e-02,1.7082604117e-02,4.5538141273e-03
10,-6.9960359623e-02,1.2555672571e-02,4.5238673536e-03
11,-6.9557872189e-02,8.0662161538e-03,4.4881945331e-03
12,-6.9101588268e-02,3.6206438911e-03,4.4468012084e-03
13,-6.8592397647e-02,-7.7463519219e-04,4.3996993601e-03
14,-6.8031190115e-02,-5.1132120708e-03,4.3469078714e-03
15,-6.7418855459e-02,-9.3886777196e-03,4.2884531598e-03
