Region Metadata for: shape_7.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 209
Number of regions: 10
Points per region:
  Region 0: 20 points
  Region 1: 20 points
  Region 2: 20 points
  Region 3: 20 points
  Region 4: 20 points
  Region 5: 20 points
  Region 6: 20 points
  Region 7: 20 points
  Region 8: 20 points
  Region 9: 29 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,20,-9.2136286102e-02,-2.2649277964e-02,-8.6320390710e-02,-6.5672785429e-02,-0.2167180050,-0.9762342477,-0.9762342477,0.2167180050,-4.0356848238e-02,1.3832667951e-02,9.6425806450e-02,-1.35234501e+00,4.75851712e-04,2.42321900e-04
1,20,-2.6720866365e-02,5.9019185564e-02,-8.6151863379e-02,-7.0834430579e-02,0.0951772061,-0.9954603455,-0.9954603455,-0.0951772061,-2.1235684878e-01,2.1828586792e+00,2.2730643336e+00,-1.66611782e+00,6.65148026e-04,3.32973262e-04
2,20,5.5266848636e-02,1.1077434046e-01,-8.8074674449e-02,-7.0388428788e-02,-0.2228625764,-0.9748498715,-0.9748498715,0.2228625764,7.2797306259e-02,-1.2935556503e-01,-5.6091067981e-02,-1.34604641e+00,3.18344028e-04,1.57357797e-04
10,8.8835898698e-02,-7.5098655238e-02,1.8934021727e-03
11,9.0711137339e-02,-7.5835382811e-02,2.1191327007e-03
12,9.2735131581e-02,-7.6755921179e-02,2.3085433433e-03
13,9.4875252258e-02,-7.7827905344e-02,2.4580548501e-03
14,9.7098870204e-02,-7.9018970308e-02,2.5656771132e-03
15,9.9373356253e-02,-8.0296751072e-02,2.6302335349e-03
16,1.0166608124e-01,-8.1628882638e-02,2.6510002551e-03
17,1.0394441600e-01,-8.2983000007e-02,2.6275273950e-03
18,1.0617573137e-01,-8.4326738182e-02,2.5595488698e-03
19,1.0832739818e-01,-8.5627732164e-02,2.4469422852e-03

Region 3 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,1.1036678726e-01,-8.6853616955e-02,2.2897267204e-03
1,1.1226126946e-01,-8.7972027556e-02,2.0881068741e-03
2,1.1397821560e-01,-8.8950598970e-02,1.8426082777e-03
3,1.1548499652e-01,-8.9756966198e-02,1.5544589791e-03
4,1.1674898305e-01,-9.0358764242e-02,1.2268417846e-03
5,1.1773754603e-01,-9.0723628104e-02,8.7046723162e-04
6,1.1841805630e-01,-9.0819192785e-02,5.4231492943e-04
7,1.1875788468e-01,-9.0613093287e-02,4.6930385758e-04
8,1.1872440201e-01,-9.0072964611e-02,7.7428804664e-04
9,1.1828497913e-01,-8.9166441761e-02,2.3046890970e-03
10,1.1645195275e-01,-8.6065766877e-02,3.6572162893e-03
11,1.1457305191e-01,-8.2863872435e-02,3.7658805397e-03
12,1.1264916225e-01,-7.9564528390e-02,3.8708725049e-03
13,1.1068116942e-01,-7.6171504695e-02,3.9721814634e-03
14,1.0866995903e-01,-7.2688571306e-02,4.0697988410e-03
15,1.0661641674e-01,-6.9119498178e-02,4.1637178725e-03
16,1.0452142818e-01,-6.5468055265e-02,4.2539333349e-03
17,1.0238587899e-01,-6.1738012523e-02,4.3404413355e-03
18,1.0021065481e-01,-5.7933139905e-02,4.4232391434e-03
19,9.7996641275e-02,-5.4057207367e-02,4.5023250547e-03

Region 4 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,9.5744724021e-02,-5.0113984864e-02,4.5776982862e-03
1,9.3455788688e-02,-4.6107242351e-02,4.6493588901e-03
2,9.1130720913e-02,-4.2040749782e-02,4.7173076880e-03
3,8.8770406334e-02,-3.7918277112e-02,4.7815462191e-03
4,8.6375730589e-02,-3.3743594295e-02,4.8420767020e-03
5,8.3947579317e-02,-2.9520471288e-02,4.8989020065e-03
6,8.1486838154e-02,-2.5252678044e-02,4.9520256356e-03
7,7.8994392740e-02,-2.0943984518e-02,5.0014517149e-03
8,7.6471128710e-02,-1.6598160665e-02,5.0471849907e-03
9,7.3917931705e-02,-1.2218976440e-02,5.0892308340e-03
10,7.1335687360e-02,-7.8102017980e-03,5.1275952510e-03
11,6.8725281315e-02,-3.3756066934e-03,5.1622849006e-03
12,6.6087599206e-02,1.0810389189e-03,5.1933071172e-03
13,6.3423526672e-02,5.5559650840e-03,5.2206699398e-03
14,6.0733949351e-02,1.0045401847e-02,5.2443821476e-03
15,5.8019752881e-02,1.4545579254e-02,5.2644533012e-03
16,5.5281822899e-02,1.9052727349e-02,5.2808937916e-03
17,5.2521045043e-02,2.3563076177e-02,5.2937148958e-03
18,4.9738304951e-02,2.8072855785e-02,5.3029288399e-03
19,4.6934488260e-02,3.2578296216e-02,5.3085488710e-03

Region 5 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,4.4110480610e-02,3.7075627517e-02,5.3105893385e-03
1,4.1267167637e-02,4.1561079732e-02,5.3090657847e-03
2,3.8405434980e-02,4.6030882907e-02,5.3039950478e-03
3,3.5526168275e-02,5.0481267087e-02,5.2953953765e-03
4,3.2630253162e-02,5.4908462317e-02,5.2832865593e-03
