Region Metadata for: shape_2.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 203
Number of regions: 10
Points per region:
  Region 0: 20 points
  Region 1: 20 points
  Region 2: 20 points
  Region 3: 20 points
  Region 4: 20 points
  Region 5: 20 points
  Region 6: 20 points
  Region 7: 20 points
  Region 8: 20 points
  Region 9: 23 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,20,-5.8432732354e-02,-2.5618486049e-02,-1.4256149961e-01,-9.8226991302e-02,-0.8164383949,-0.5774325479,-0.5774325479,0.8164383949,1.2000641223e-02,-8.0261381183e-02,7.1730725783e-02,-6.15580483e-01,2.73316839e-04,1.39707687e-04
1,20,-2.8610957665e-02,2.1552824204e-03,-1.4721891466e-01,-1.2108596410e-01,0.5667755298,-0.8238722588,-0.8238722588,-0.5667755298,-1.8042534642e-02,-1.2853782976e-01,1.6245502176e-02,-2.17338309e+00,1.84228238e-04,9.55424290e-05
2,20,-2.6897942453e-03,1.0622735448e-02,-1.2394880143e-01,-5.9406056965e-02,0.9919193669,-0.1268698924,-0.1268698924,-0.9919193669,-4.4343391089e-01,-3.7634514054e-02,4.5156304049e-01,-3.01437992e+00,3.80823244e-04,1.91160868e-04
9,4.6193409442e-03,-9.3947628670e-02,3.2233006326e-03
10,4.9704537220e-03,-9.0736339933e-02,3.2338259499e-03
11,5.3026932307e-03,-8.7516208719e-02,3.2368633082e-03
12,5.6190152014e-03,-8.4295202557e-02,3.2323500546e-03
13,5.9223753651e-03,-8.1081288971e-02,3.2202376762e-03
14,6.2157294529e-03,-7.7882435489e-02,3.2004907500e-03
15,6.5020331959e-03,-7.4706609638e-02,3.1730863422e-03
16,6.7842423251e-03,-7.1561778944e-02,3.1380138434e-03
17,7.0653125716e-03,-6.8455910934e-02,3.0952752533e-03
18,7.3481996665e-03,-6.5396973135e-02,3.0448859619e-03
19,7.6358593409e-03,-6.2392933073e-02,2.9868761072e-03

Region 3 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,7.9312473258e-03,-5.9451758274e-02,2.9212926450e-03
1,8.2373193523e-03,-5.6581416267e-02,2.8482023259e-03
2,8.5570311515e-03,-5.3789874576e-02,2.7676958785e-03
3,8.8933384544e-03,-5.1085100730e-02,2.6798938322e-03
4,9.2491969922e-03,-4.8475062254e-02,2.5849546259e-03
5,9.6275624958e-03,-4.5967726675e-02,2.4830859712e-03
6,1.0031390696e-02,-4.3571061521e-02,2.3745609358e-03
7,1.0463637325e-02,-4.1293034317e-02,2.2597410006e-03
8,1.0927258113e-02,-3.9141612590e-02,2.5456420945e-03
9,1.1592081602e-02,-3.6328632445e-02,2.9367511762e-03
10,1.2308625048e-02,-3.3432943274e-02,3.0275409656e-03
11,1.3074205400e-02,-3.0457811677e-02,3.1147701588e-03
12,1.3886139613e-02,-2.7406504251e-02,3.1983715004e-03
13,1.4741744637e-02,-2.4282287594e-02,3.2782890779e-03
14,1.5638337424e-02,-2.1088428303e-02,3.3544762943e-03
15,1.6573234927e-02,-1.7828192978e-02,3.4268942746e-03
16,1.7543754098e-02,-1.4504848215e-02,3.4955106046e-03
17,1.8547211888e-02,-1.1121660613e-02,3.5602983270e-03
18,1.9580925250e-02,-7.6818967689e-03,3.6212351387e-03
19,2.0642211136e-02,-4.1888232817e-03,3.6783027472e-03

Region 4 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,2.1728386497e-02,-6.4570674899e-04,3.7314863526e-03
1,2.2836768287e-02,2.9441862314e-03,3.7807742316e-03
2,2.3964673455e-02,6.5775890616e-03,3.8261574039e-03
3,2.5109418956e-02,1.0251235144e-02,3.8676293664e-03
4,2.6268321741e-02,1.3961857880e-02,3.9051858835e-03
5,2.7438698761e-02,1.7706190671e-02,3.9388248260e-03
6,2.8617866969e-02,2.1480966921e-02,3.9685460495e-03
7,2.9803143317e-02,2.5282920032e-02,3.9943513096e-03
8,3.0991844757e-02,2.9108783404e-02,4.0162442084e-03
9,3.2181288241e-02,3.2955290441e-02,4.0342301707e-03
10,3.3368790721e-02,3.6819174544e-02,4.0483164465e-03
11,3.4551669149e-02,4.0697169115e-02,4.0585121407e-03
12,3.5727240477e-02,4.4586007557e-02,4.0648282679e-03
13,3.6892821656e-02,4.8482423272e-02,4.0672778340e-03
14,3.8045729640e-02,5.2383149662e-02,4.0658759446e-03
15,3.9183281380e-02,5.6284920128e-02,4.0606399421e-03
16,4.0302793828e-02,6.0184468073e-02,4.0515895746e-03
17,4.1401583935e-02,6.4078526899e-02,4.0387471984e-03
18,4.2476968655e-02,6.7963830008e-02,4.0221380187e-03
19,4.3526264940e-02,7.1837110802e-02,4.0017903742e-03

Region 5 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,4.4546789740e-02,7.5695102684e-02,3.9777360697e-03
1,4.5535860008e-02,7.9534539054e-02,3.9500107652e-03
2,4.6490792697e-02,8.3352153316e-02,3.9186544312e-03
3,4.7408904757e-02,8.7144678872e-02,3.8837118777e-03
4,4.8287513142e-02,9.0908849123e-02,3.8452333731e-03
5,4.9123934803e-02,9.4641397471e-02,3.8032753661e-03
6,4.9915486693e-02,9.8339057319e-02,3.7579013297e-03
7,5.0659485763e-02,1.0199856207e-01,3.7091827489e-03
8,5.1353248965e-02,1.0561664512e-01,3.6572002793e-03
9,5.1994093251e-02,1.0919003988e-01,3.6020451078e-03
10,5.2579335574e-02,1.1271547975e-01,3.5438205539e-03
11,5.3106292885e-02,1.1618969813e-01,3.4826439569e-03
12,5.3572282136e-02,1.1960942842e-01,3.4186489033e-03
13,5.3974620280e-02,1.2297140402e-01,3.3519878593e-03
14,5.4310624268e-02,1.2627235834e-01,3.2828352836e-03
15,5.4577611053e-02,1.2950902478e-01,3.2113913083e-03
16,5.4772897586e-02,1.3267813674e-01,3.1378860888e-03
17,5.4893800820e-02,1.3577642762e-01,3.0625849331e-03
18,5.4937637706e-02,1.3880063083e-01,2.9857943293e-03
19,5.4901725196e-02,1.4174747976e-01,2.1834440594e-03

Region 6 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,5.4674858008e-02,1.4314905785e-01,1.3749652665e-03
1,5.4092469757e-02,1.4434489103e-01,1.3405528096e-03
2,5.3182603283e-02,1.4534355599e-01,1.4032734449e-03
3,5.1973301426e-02,1.4615362945e-01,1.5323609875e-03
4,5.0492607027e-02,1.4678368811e-01,1.6965859530e-03
5,4.8768562926e-02,1.4724230868e-01,1.8728874830e-03
6,4.6829211964e-02,1.4753806785e-01,2.0465446142e-03
7,4.4702596981e-02,1.4767954235e-01,2.2085778577e-03
8,4.2416760817e-02,1.4767530887e-01,2.3534925415e-03
9,3.9999746313e-02,1.4753394413e-01,2.4778542831e-03
10,3.7479596309e-02,1.4726402481e-01,2.5794654870e-03
11,3.4884353645e-02,1.4687412765e-01,2.6568964579e-03
12,3.2242061163e-02,1.4637282933e-01,2.7092162484e-03
13,2.9580761701e-02,1.4576870656e-01,2.7358371115e-03
14,2.6928498101e-02,1.4507033606e-01,2.7364263968e-03
15,2.4313313204e-02,1.4428629452e-01,2.7108618989e-03
16,2.1763249848e-02,1.4342515865e-01,2.6592195534e-03
17,1.9306350876e-02,1.4249550517e-01,2.5817911833e-03
18,1.6970659126e-02,1.4150591077e-01,2.4791382220e-03
19,1.4784217440e-02,1.4046495215e-01,2.3521984174e-03

Region 7 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,1.2775068658e-02,1.3938120604e-01,2.2024816597e-03
1,1.0971255620e-02,1.3826324913e-01,2.0324283293e-03
2,9.4008211672e-03,1.3711965812e-01,1.8460789719e-03
3,8.0918081391e-03,1.3595900974e-01,1.6503508608e-03
4,7.0722593765e-03,1.3478988067e-01,1.4574370633e-03
5,6.3702177196e-03,1.3362084763e-01,2.1308381108e-03
6,5.1796235013e-03,1.3097866526e-01,2.9625319409e-03
7,3.9668943023e-03,1.2820519185e-01,3.0893836242e-03
8,2.7334305387e-03,1.2530483664e-01,3.2119491070e-03
9,1.4806326269e-03,1.2228200890e-01,3.3301810006e-03
10,2.0990098286e-04,1.1914111790e-01,3.4440408577e-03
11,-1.0773639771e-03,1.1588657290e-01,3.5534972061e-03
12,-2.3797618368e-03,1.1252278317e-01,3.6585240816e-03
13,-3.6958921801e-03,1.0905415796e-01,3.7590999171e-03
14,-5.0243545907e-03,1.0548510654e-01,3.8552066927e-03
15,-6.3637486526e-03,1.0182003819e-01,3.9468292787e-03
16,-7.7126739494e-03,9.8063362148e-02,4.0339549212e-03
17,-9.0697300650e-03,9.4219487693e-02,4.1165728385e-03
18,-1.0433516583e-02,9.0292824087e-02,4.1946738992e-03
19,-1.1802633088e-02,8.6287780593e-02,4.2682503653e-03

Region 8 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-1.3175679163e-02,8.2208766475e-02,4.3372956863e-03
1,-1.4551254392e-02,7.8060190997e-02,4.4018043313e-03
2,-1.5927958359e-02,7.3846463423e-02,4.4617716544e-03
3,-1.7304390647e-02,6.9571993017e-02,4.5171937843e-03
4,-1.8679150841e-02,6.5241189042e-02,4.5680675347e-03
5,-2.0050838525e-02,6.0858460763e-02,4.6143903319e-03
6,-2.1418053281e-02,5.6428217443e-02,4.6561601557e-03
7,-2.2779394694e-02,5.1954868348e-02,4.6933754929e-03
8,-2.4133462349e-02,4.7442822739e-02,4.7260352999e-03
9,-2.5478855827e-02,4.2896489883e-02,4.7541389743e-03
10,-2.6814174714e-02,3.8320279041e-02,4.7776863340e-03
11,-2.8138018593e-02,3.3718599479e-02,4.7966776036e-03
12,-2.9448987048e-02,2.9095860461e-02,4.8111134058e-03
13,-3.0745679663e-02,2.4456471249e-02,4.8209947600e-03
14,-3.2026696022e-02,1.9804841109e-02,4.8263230858e-03
15,-3.3290635707e-02,1.5145379304e-02,4.8271002123e-03
16,-3.4536098305e-02,1.0482495098e-02,4.8233283932e-03
17,-3.5761683397e-02,5.8205977548e-03,4.8150103277e-03
18,-3.6965990568e-02,1.1640965389e-03,4.8021491876e-03
19,-3.8147619401e-02,-3.4825992861e-03,4.7847486523e-03

Region 9 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-3.9305169481e-02,-8.1150804563e-03,4.7628129498e-03
1,-4.0437240392e-02,-1.2728937708e-02,4.7363469082e-03
2,-4.1542431716e-02,-1.7319761776e-02,4.7053560158e-03
3,-4.2619343038e-02,-2.1883143398e-02,4.6698464934e-03
4,-4.3666573942e-02,-2.6414673309e-02,4.6298253794e-03
5,-4.4682724012e-02,-3.0909942246e-02,4.5853006312e-03
6,-4.5666392830e-02,-3.5364540944e-02,4.5362812446e-03
7,-4.6616179982e-02,-3.9774060139e-02,4.4827773964e-03
8,-4.7530685051e-02,-4.4134090568e-02,4.4248006129e-03
9,-4.8408507621e-02,-4.8440222967e-02,4.3623639718e-03
10,-4.9248247275e-02,-5.2688048071e-02,4.2954823426e-03
11,-5.0048503598e-02,-5.6873156617e-02,4.2241726771e-03
12,-5.0807876172e-02,-6.0991139341e-02,4.1484543584e-03
13,-5.1524964583e-02,-6.5037586979e-02,4.0683496262e-03
14,-5.2198368414e-02,-6.9008090266e-02,3.9838840941e-03
15,-5.2826687248e-02,-7.2898239940e-02,3.8950873858e-03
16,-5.3408520670e-02,-7.6703626735e-02,3.8019939212e-03
17,-5.3942468262e-02,-8.0419841389e-02,3.7046438940e-03
18,-5.4427129610e-02,-8.4042474636e-02,3.6030844981e-03
19,-5.4861104297e-02,-8.7567117214e-02,3.4973714769e-03
20,-5.5242991907e-02,-9.0989359858e-02,3.3875710990e-03
21,-5.5571392022e-02,-9.4304793304e-02,3.2737626988e-03
22,-5.5844904229e-02,-9.7509008289e-02,3.1560419770e-03
