Region Metadata for: shape_4.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 232
Number of regions: 10
Points per region:
  Region 0: 23 points
  Region 1: 23 points
  Region 2: 23 points
  Region 3: 23 points
  Region 4: 23 points
  Region 5: 23 points
  Region 6: 23 points
  Region 7: 23 points
  Region 8: 23 points
  Region 9: 25 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,23,3.5149253598e-02,8.9063348404e-02,-1.2327220705e-01,-1.0709216699e-01,-0.2138409313,-0.9768684948,-0.9768684948,0.2138409313,7.6028571965e-02,-4.5371164717e-02,7.5411802936e-02,-1.35529117e+00,2.55935293e-04,1.30668387e-04
1,23,8.5431127039e-02,1.0215566874e-01,-1.2200061270e-01,-8.2274805804e-02,0.9997875681,0.0206111274,0.0206111274,-0.9997875681,8.0150773396e-02,-1.0580830814e-01,1.9523164932e-02,3.12098007e+00,2.08269516e-04,1.07036839e-04
2,23,3.7884372061e-02,8.9541878043e-02,-8.5630886524e-02,-2.7416209291e-02,0.7528286798,0.6582165137,0.6582165137,-0.7528286798,-2.9588950832e-01,-3.7476345370e-01,4.8147271131e-01,2.42314540e+00,4.47475086e-04,2.23833774e-04
4,7.9574051881e-02,-7.3213529178e-02,3.0475400571e-03
5,7.7662366048e-02,-7.0817407066e-02,3.0815567240e-03
6,7.5702389320e-02,-6.8418436276e-02,3.1125968821e-03
7,7.3698122256e-02,-6.6017749176e-02,3.1405693258e-03
8,7.1653565418e-02,-6.3616478130e-02,3.1653937240e-03
9,6.9572719365e-02,-6.1215755506e-02,3.1869993594e-03
10,6.7459584659e-02,-5.8816713670e-02,3.2053240538e-03
11,6.5318161860e-02,-5.6420484989e-02,3.2203132541e-03
12,6.3152451527e-02,-5.4028201827e-02,3.2319192572e-03
13,6.0966454222e-02,-5.1640996553e-02,3.2401005570e-03
14,5.8764170506e-02,-4.9260001531e-02,3.2448212980e-03
15,5.6549600938e-02,-4.6886349129e-02,3.2460508234e-03
16,5.4326746078e-02,-4.4521171713e-02,3.2437633087e-03
17,5.2099606489e-02,-4.2165601649e-02,3.2379374729e-03
18,4.9872182729e-02,-3.9820771303e-02,3.2285563622e-03
19,4.7648475360e-02,-3.7487813042e-02,3.2156072020e-03
20,4.5432484942e-02,-3.5167859232e-02,3.1990813160e-03
21,4.3228212035e-02,-3.2862042239e-02,3.1789741123e-03
22,4.1039657200e-02,-3.0571494429e-02,3.1552851389e-03

Region 3 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,3.8870820997e-02,-2.8297348170e-02,3.1280182111e-03
1,3.6725703987e-02,-2.6040735827e-02,3.0971816200e-03
2,3.4608306730e-02,-2.3802789766e-02,3.0627884286e-03
3,3.2522629787e-02,-2.1584642354e-02,3.0248568695e-03
4,3.0472673718e-02,-1.9387425958e-02,2.9834108611e-03
5,2.8462439084e-02,-1.7212272943e-02,2.9384806622e-03
6,2.6495926445e-02,-1.5060315675e-02,2.8901036947e-03
7,2.4577136361e-02,-1.2932686522e-02,2.8383255690e-03
8,2.2710069394e-02,-1.0830517849e-02,2.7832013588e-03
9,2.0898726103e-02,-8.7549420228e-03,2.7247971854e-03
10,1.9147107049e-02,-6.7070914097e-03,2.6631921856e-03
11,1.7459212793e-02,-4.6880983759e-03,2.5984809660e-03
12,1.5839043895e-02,-2.6990952877e-03,2.5307766688e-03
13,1.4290600915e-02,-7.4121451147e-04,2.4602148170e-03
14,1.2817884413e-02,1.1844115865e-03,2.3869581550e-03
15,1.1424894952e-02,3.0766506398e-03,2.3112027637e-03
16,1.0115633090e-02,4.9343702823e-03,2.2331858120e-03
17,8.8940993879e-03,6.7564381476e-03,2.1187331283e-03
18,7.7970301417e-03,8.4808646387e-03,2.0854578815e-03
19,6.6922911777e-03,1.0298577608e-02,2.1672566737e-03
20,5.5800295482e-03,1.2205295867e-02,2.2460133233e-03
